Graph,Node Index,Operator,Tensor Shapes,Estimated FLOPs
diffusion_step_fp16.onnx,2014,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,2018,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,2020,MatMul,"inputs=[1, 46, 768], [768, 3072] -> outputs=[1, 46, 3072]",217055232
diffusion_step_fp16.onnx,2025,MatMul,"inputs=[1, 46, 768], [768, 1536] -> outputs=[1, 46, 1536]",108527616
diffusion_step_fp16.onnx,2027,MatMul,"inputs=[1, 46, 1536], [1536, 768] -> outputs=[1, 46, 768]",108527616
diffusion_step_fp16.onnx,2038,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,2042,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,2044,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,2047,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,2049,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,2051,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,2053,Einsum,"inputs=[1, 46, 16, 48], [1, 46, 16, 48] -> outputs=[1, 16, 46, 46]",3250176
diffusion_step_fp16.onnx,2058,Softmax,"inputs=[1, 16, 46, 46] -> outputs=[1, 16, 46, 46]",169280
diffusion_step_fp16.onnx,2060,Einsum,"inputs=[1, 16, 46, 46], [1, 46, 16, 48] -> outputs=[1, 46, 16, 48]",3250176
diffusion_step_fp16.onnx,2063,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,2074,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,2078,MatMul,"inputs=[1, 46, 768], [768, 768] -> outputs=[1, 46, 768]",54263808
diffusion_step_fp16.onnx,2080,MatMul,"inputs=[1, 46, 768], [768, 3072] -> outputs=[1, 46, 3072]",217055232
diffusion_step_fp16.onnx,2085,MatMul,"inputs=[1, 46, 768], [768, 1536] -> outputs=[1, 46, 1536]",108527616
