Graph,Node Index,Operator,Tensor Shapes,Estimated FLOPs
trunk_fp16.onnx,12685,MatMul,"inputs=[1, 46, 46, 512], [512, 128] -> outputs=[1, 46, 46, 128]",277348352
trunk_fp16.onnx,12692,MatMul,"inputs=[1, 46, 384], [384, 384] -> outputs=[1, 46, 384]",13565952
trunk_fp16.onnx,12695,MatMul,"inputs=[1, 46, 384], [384, 384] -> outputs=[1, 46, 384]",13565952
trunk_fp16.onnx,12697,MatMul,"inputs=[1, 46, 384], [384, 384] -> outputs=[1, 46, 384]",13565952
trunk_fp16.onnx,12699,MatMul,"inputs=[1, 46, 384], [384, 384] -> outputs=[1, 46, 384]",13565952
trunk_fp16.onnx,12701,Einsum,"inputs=[1, 46, 16, 24], [1, 46, 16, 24] -> outputs=[1, 16, 46, 46]",1625088
trunk_fp16.onnx,12708,MatMul,"inputs=[1, 46, 46, 128], [128, 16] -> outputs=[1, 46, 46, 16]",8667136
trunk_fp16.onnx,12716,Softmax,"inputs=[1, 16, 46, 46] -> outputs=[1, 16, 46, 46]",169280
trunk_fp16.onnx,12718,Einsum,"inputs=[1, 16, 46, 46], [1, 46, 16, 24] -> outputs=[1, 46, 16, 24]",1625088
trunk_fp16.onnx,12721,MatMul,"inputs=[1, 46, 384], [384, 384] -> outputs=[1, 46, 384]",13565952
trunk_fp16.onnx,12728,MatMul,"inputs=[1, 46, 384], [384, 1536] -> outputs=[1, 46, 1536]",54263808
trunk_fp16.onnx,12731,MatMul,"inputs=[1, 46, 384], [384, 1536] -> outputs=[1, 46, 1536]",54263808
trunk_fp16.onnx,12733,MatMul,"inputs=[1, 46, 1536], [1536, 384] -> outputs=[1, 46, 384]",54263808
trunk_fp16.onnx,12740,MatMul,"inputs=[1, 46, 46, 128], [128, 256] -> outputs=[1, 46, 46, 256]",138674176
trunk_fp16.onnx,12741,MatMul,"inputs=[1, 46, 46, 128], [128, 256] -> outputs=[1, 46, 46, 256]",138674176
trunk_fp16.onnx,12746,Einsum,"inputs=[1, 46, 46, 128], [1, 46, 46, 128] -> outputs=[1, 46, 46, 128]",24918016
trunk_fp16.onnx,12747,MatMul,"inputs=[1, 46, 46, 128], [128, 128] -> outputs=[1, 46, 46, 128]",69337088
trunk_fp16.onnx,12754,MatMul,"inputs=[1, 46, 46, 128], [128, 128] -> outputs=[1, 46, 46, 128]",69337088
trunk_fp16.onnx,12763,MatMul,"inputs=[1, 46, 46, 128], [128, 256] -> outputs=[1, 46, 46, 256]",138674176
trunk_fp16.onnx,12764,MatMul,"inputs=[1, 46, 46, 128], [128, 256] -> outputs=[1, 46, 46, 256]",138674176
trunk_fp16.onnx,12769,Einsum,"inputs=[1, 46, 46, 128], [1, 46, 46, 128] -> outputs=[1, 46, 46, 128]",24918016
trunk_fp16.onnx,12770,MatMul,"inputs=[1, 46, 46, 128], [128, 128] -> outputs=[1, 46, 46, 128]",69337088
trunk_fp16.onnx,12777,MatMul,"inputs=[1, 46, 46, 128], [128, 128] -> outputs=[1, 46, 46, 128]",69337088
trunk_fp16.onnx,12786,MatMul,"inputs=[1, 46, 46, 128], [128, 4] -> outputs=[1, 46, 46, 4]",2166784
trunk_fp16.onnx,12791,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,12792,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,12793,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,12803,MatMul,"inputs=[46, 4, 46, 32], [46, 4, 32, 46] -> outputs=[46, 4, 46, 46]",4584914944
trunk_fp16.onnx,12806,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,12810,Softmax,"inputs=[46, 4, 46, 46] -> outputs=[46, 4, 46, 46]",1946720
trunk_fp16.onnx,12812,MatMul,"inputs=[46, 4, 46, 46], [46, 4, 46, 32] -> outputs=[46, 4, 46, 32]",4584914944
trunk_fp16.onnx,12816,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,12826,MatMul,"inputs=[1, 46, 46, 128], [128, 4] -> outputs=[1, 46, 46, 4]",2166784
trunk_fp16.onnx,12831,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,12832,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,12833,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,12843,MatMul,"inputs=[46, 4, 46, 32], [46, 4, 32, 46] -> outputs=[46, 4, 46, 46]",4584914944
trunk_fp16.onnx,12846,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
trunk_fp16.onnx,12850,Softmax,"inputs=[46, 4, 46, 46] -> outputs=[46, 4, 46, 46]",1946720
trunk_fp16.onnx,12852,MatMul,"inputs=[46, 4, 46, 46], [46, 4, 46, 32] -> outputs=[46, 4, 46, 32]",4584914944
trunk_fp16.onnx,12856,MatMul,"inputs=[46, 46, 128], [128, 128] -> outputs=[46, 46, 128]",69337088
